,MENTHLTH,PHYSHLTH,EXERANY2,_TOTINDA,_SMOKER3,_DRNKWK3,_BMI5,_BMI5CAT,_AGE80,SEXVAR,EDUCA,INCOME3,EMPLOY1,_HLTHPL2,PERSDOC3,CHECKUP1,mental_risk
count,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0,306941.0
mean,4.449,4.534,1.215,1.215,3.409,300.922,2878.216,3.041,55.091,1.502,5.116,7.128,3.711,1.049,1.566,1.337,0.138
std,8.285,8.812,0.411,0.411,0.883,896.134,658.23,0.829,17.524,0.5,0.965,2.417,2.856,0.217,0.684,0.869,0.345
min,0.0,0.0,1.0,1.0,1.0,0.0,1200.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25%,0.0,0.0,1.0,1.0,3.0,0.0,2434.0,2.0,41.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0
50%,0.0,0.0,1.0,1.0,4.0,23.0,2760.0,3.0,58.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,0.0
75%,5.0,4.0,1.0,1.0,4.0,280.0,3201.0,4.0,70.0,2.0,6.0,9.0,7.0,1.0,2.0,1.0,0.0
max,30.0,30.0,2.0,2.0,4.0,53200.0,9984.0,4.0,80.0,2.0,6.0,11.0,8.0,2.0,3.0,8.0,1.0
